Datetime;Branch;Gender;Age;NPS;CSI;Loyalty;CES;Account Opening;ATM Service;Mobile Banking;Internet Banking;Customer Service;Loan Application;Complaint Handling;Branch Cleanliness;Staff Friendliness;Transaction Speed;Improvement_Feedback
09/01/2025 14.16;Cibinong;Female;31;6;4;4;4;3;3;4;4;4;3;4;2;4;3;improve Branch Cleanliness
20/01/2025 23.40;Gunung Putri;Male;22;10;3;3;4;3;4;4;4;4;3;4;3;3;3;overall good
19/01/2025 13.41;Cibinong;Female;38;9;5;4;4;4;5;4;4;5;4;4;4;4;4;overall good
17/01/2025 23.22;Bogor Barat;Male;51;10;4;4;4;4;3;4;4;5;3;5;4;5;3;overall good
20/01/2025 08.14;Dramaga;Female;35;9;4;4;5;4;4;4;4;4;4;5;4;4;5;overall good
14/01/2025 13.12;Ciomas;Male;38;6;4;4;4;5;4;4;4;4;4;4;4;5;4;overall good
02/01/2025 08.09;Bojonggede;Female;62;8;4;4;3;4;4;4;4;4;4;4;4;3;3;overall good
02/01/2025 20.34;Bogor Selatan;Male;37;10;4;4;4;4;4;5;5;4;5;5;4;3;5;overall good
22/01/2025 04.26;Bogor Selatan;Female;59;8;3;4;4;4;4;4;4;4;4;3;3;3;3;overall good
13/01/2025 08.46;Kemang;Male;53;9;3;3;3;3;4;4;3;3;4;3;3;4;3;overall good
18/01/2025 16.20;Bogor Barat;Female;48;9;3;4;4;3;4;4;4;4;5;4;4;4;4;overall good
31/01/2025 06.01;Gunung Putri;Male;25;2;4;4;4;3;5;3;3;3;4;4;4;3;4;overall good
15/01/2025 13.54;Ciomas;Female;63;5;4;3;4;4;4;3;3;4;3;4;5;3;3;overall good
20/01/2025 12.49;Ciawi;Male;40;8;5;3;4;5;3;4;5;4;4;3;3;3;3;overall good
19/01/2025 09.44;Dramaga;Female;56;10;4;4;3;4;4;3;4;4;3;5;4;3;4;overall good
27/01/2025 14.23;Baranangsiang;Male;60;8;4;4;4;4;3;4;4;4;5;5;4;3;4;overall good
29/01/2025 03.43;Bogor Tengah;Female;40;10;4;5;4;4;4;4;4;5;5;4;3;3;4;overall good
22/01/2025 11.09;Kemang;Male;62;10;3;4;4;3;4;4;3;4;3;4;4;3;4;overall good
05/01/2025 02.47;Yasmin;Female;53;9;4;4;3;4;4;4;4;4;4;4;4;4;3;overall good
17/01/2025 06.31;Dramaga;Male;53;4;3;3;3;4;4;3;4;4;2;3;3;3;4;improve Loan Application
10/01/2025 16.00;Bogor Timur;Female;36;7;5;4;5;4;4;4;4;4;4;4;4;4;5;overall good
30/01/2025 16.11;Tanah Sareal;Male;22;10;4;3;4;3;4;3;3;4;4;4;3;4;4;overall good
19/01/2025 15.22;Bogor Timur;Female;50;7;3;3;4;3;3;4;3;3;3;3;3;3;4;overall good
06/01/2025 04.10;Caringin;Male;46;9;3;4;3;3;4;3;4;4;3;4;3;4;4;overall good
03/01/2025 10.30;Gunung Putri;Female;35;10;5;4;4;4;4;5;4;4;4;4;4;5;4;overall good
23/01/2025 03.48;Cijeruk;Male;36;0;4;4;4;4;3;3;4;3;3;4;4;4;5;overall good
22/01/2025 11.38;Tanah Sareal;Female;50;8;4;4;4;4;4;4;4;3;3;3;3;5;3;overall good
08/01/2025 17.25;Kemang;Male;53;10;4;4;4;4;3;4;4;4;5;4;4;4;4;overall good
31/01/2025 22.55;Caringin;Female;49;9;3;4;4;4;4;4;4;4;5;4;5;4;3;overall good
14/01/2025 07.55;Cileungsi;Male;54;7;4;5;4;4;3;4;4;4;4;5;4;3;4;overall good
14/01/2025 04.34;Babakan Madang;Female;25;7;4;4;4;4;4;4;4;4;4;5;4;5;4;overall good
07/01/2025 17.13;Ciomas;Male;41;0;4;3;3;3;4;4;5;4;4;5;5;5;4;overall good
11/01/2025 09.16;Tanah Sareal;Female;35;9;4;4;4;4;4;4;4;4;5;4;5;4;4;overall good
21/01/2025 04.24;Bogor Timur;Male;47;8;3;4;4;4;4;3;5;4;4;3;3;3;4;overall good
29/01/2025 08.30;Bogor Barat;Female;34;8;5;4;4;4;3;5;4;4;4;5;4;4;3;overall good
18/01/2025 01.49;Bogor Tengah;Male;57;9;4;4;4;3;4;3;4;4;4;4;4;3;3;overall good
21/01/2025 08.11;Dramaga;Female;45;6;4;4;3;4;4;4;3;3;4;4;4;4;4;overall good
24/01/2025 16.49;Cijeruk;Male;55;1;3;4;3;3;3;4;3;3;4;3;3;3;4;overall good
19/01/2025 21.03;Cibinong;Female;38;9;4;4;4;4;3;3;4;3;2;4;4;2;3;improve Loan Application, Staff Friendliness
09/01/2025 00.17;Ciomas;Male;63;8;5;4;4;4;5;4;4;4;4;4;5;4;4;overall good
02/01/2025 07.25;Babakan Madang;Female;29;4;3;4;4;4;5;4;3;3;4;4;3;4;3;overall good
05/01/2025 01.48;Leuwiliang;Male;58;9;5;4;5;4;5;5;4;4;5;4;4;4;5;overall good
03/01/2025 10.35;Gunung Putri;Female;29;1;4;4;5;4;5;4;5;4;5;5;5;5;5;overall good
16/01/2025 20.48;Cileungsi;Male;45;10;4;4;4;4;5;3;4;5;4;3;4;5;4;overall good
13/01/2025 05.55;Ciomas;Female;45;10;3;4;4;3;3;3;3;4;3;4;4;4;3;overall good
17/01/2025 23.44;Bogor Timur;Male;51;9;4;4;4;3;5;4;4;4;4;4;4;4;3;overall good
02/01/2025 12.09;Cibinong;Female;62;9;4;3;4;4;4;4;4;4;4;4;4;4;5;overall good
08/01/2025 09.32;Cibinong;Male;33;4;3;4;4;3;4;3;4;4;4;4;4;4;4;overall good
28/01/2025 09.04;Cibinong;Female;29;9;4;4;4;4;4;4;5;4;4;4;4;4;3;overall good
18/01/2025 21.47;Yasmin;Male;50;6;3;4;4;3;3;4;4;3;4;4;4;4;4;overall good
06/01/2025 13.26;Baranangsiang;Female;59;5;3;3;2;3;4;3;3;4;4;4;3;3;2;improve Transaction Speed
16/01/2025 03.27;Baranangsiang;Male;40;9;3;5;4;4;4;4;5;3;4;3;3;3;4;overall good
20/01/2025 06.08;Sukaraja;Female;64;3;3;3;4;3;4;4;3;4;3;4;4;3;4;overall good
05/01/2025 22.43;Yasmin;Male;25;7;4;4;3;4;3;4;4;5;4;3;3;3;3;overall good
28/01/2025 11.21;Dramaga;Female;64;7;4;3;4;4;4;5;4;4;3;3;4;4;3;overall good
04/01/2025 08.20;Bogor Barat;Male;43;8;4;4;4;4;4;3;4;4;4;4;4;4;4;overall good
24/01/2025 19.07;Ciawi;Female;62;10;4;3;4;4;4;4;3;3;4;4;3;4;3;overall good
23/01/2025 07.38;Bogor Selatan;Male;48;5;4;4;5;3;5;5;4;5;4;4;4;4;4;overall good
30/01/2025 21.35;Tanah Sareal;Female;48;10;4;5;3;5;5;3;4;3;4;4;4;5;5;overall good
16/01/2025 15.30;Cijeruk;Male;51;10;4;3;3;4;4;3;3;4;4;3;4;3;4;overall good
12/01/2025 20.07;Cibinong;Female;26;10;4;4;4;4;4;4;5;4;4;4;4;5;4;overall good
17/01/2025 07.55;Babakan Madang;Male;57;8;4;3;3;3;4;5;5;4;4;3;3;3;3;overall good
24/01/2025 16.02;Bogor Tengah;Female;52;1;4;3;4;3;4;5;3;2;4;4;5;3;4;improve Customer Service
14/01/2025 13.49;Yasmin;Male;43;8;4;5;3;4;4;4;4;4;3;4;3;4;3;overall good
01/01/2025 11.49;Kemang;Female;65;4;4;4;4;3;5;3;4;4;5;3;5;4;4;overall good
24/01/2025 17.14;Ciawi;Male;33;10;4;4;4;4;4;4;4;4;4;4;2;4;4;improve Branch Cleanliness
22/01/2025 18.09;Cijeruk;Female;36;8;4;4;4;3;4;3;3;3;4;4;4;4;4;overall good
12/01/2025 19.28;Bogor Tengah;Male;26;10;4;4;4;4;4;4;4;4;3;4;3;3;4;overall good
27/01/2025 20.50;Dramaga;Female;63;8;3;3;4;4;3;4;4;3;3;3;3;4;3;overall good
18/01/2025 01.53;Ciawi;Male;43;8;3;4;3;4;4;4;3;2;4;5;4;4;3;improve Customer Service
06/01/2025 20.34;Babakan Madang;Female;38;9;4;4;4;5;5;4;4;4;3;4;4;4;4;overall good
10/01/2025 07.09;Yasmin;Male;41;9;4;4;4;3;4;4;3;3;3;3;3;3;4;overall good
05/01/2025 21.07;Yasmin;Female;51;10;4;4;4;4;4;4;4;3;4;5;4;4;4;overall good
15/01/2025 16.10;Yasmin;Male;39;9;4;4;4;4;4;4;4;4;4;3;3;4;3;overall good
03/01/2025 15.31;Bogor Tengah;Female;55;9;4;3;4;4;4;4;3;4;4;4;3;3;4;overall good
31/01/2025 23.10;Cijeruk;Male;39;7;4;4;4;3;5;3;4;4;4;4;4;4;3;overall good
14/01/2025 19.16;Caringin;Female;27;4;4;4;4;3;4;5;4;4;4;4;4;3;5;overall good
03/01/2025 11.51;Caringin;Male;51;9;4;4;4;4;4;4;4;4;5;3;3;4;4;overall good
20/01/2025 10.51;Cileungsi;Female;51;9;4;4;4;3;3;4;3;4;5;4;4;3;4;overall good
08/01/2025 08.46;Caringin;Male;25;7;4;4;4;3;4;4;4;4;3;3;3;4;4;overall good
13/01/2025 01.09;Tanah Sareal;Female;57;0;4;4;4;4;5;3;4;5;4;4;4;4;5;overall good
26/01/2025 08.50;Bogor Selatan;Male;56;7;4;3;3;3;3;2;3;4;2;3;3;3;3;improve Mobile Banking, Loan Application
29/01/2025 13.40;Leuwiliang;Female;49;2;4;4;4;4;3;3;4;4;4;3;4;3;4;overall good
30/01/2025 14.16;Gunung Putri;Male;40;7;4;4;4;4;4;5;4;4;4;4;4;4;5;overall good
04/01/2025 22.35;Bogor Selatan;Female;34;8;4;3;5;4;5;3;5;4;5;4;4;4;5;overall good
08/01/2025 14.22;Baranangsiang;Male;36;9;4;5;3;5;4;3;3;4;4;4;5;3;4;overall good
15/01/2025 03.20;Bogor Tengah;Female;47;10;4;4;3;2;4;4;4;4;3;4;4;3;4;improve Account Opening
23/01/2025 00.59;Bogor Barat;Male;35;10;4;4;3;3;4;3;3;4;3;4;4;3;3;overall good
31/01/2025 08.14;Bogor Timur;Female;64;10;4;4;4;5;4;4;5;5;5;4;4;4;4;overall good
21/01/2025 15.19;Sukaraja;Male;63;1;4;4;3;4;3;4;4;5;5;4;4;4;4;overall good
13/01/2025 21.29;Bogor Selatan;Female;55;9;4;4;4;4;4;4;3;3;3;4;4;4;5;overall good
29/01/2025 21.16;Tanah Sareal;Male;25;10;4;3;4;4;4;4;4;3;4;4;4;4;4;overall good
15/01/2025 18.17;Sukaraja;Female;39;10;4;4;4;4;4;3;4;4;3;4;4;4;4;overall good
22/01/2025 06.01;Leuwiliang;Male;38;8;4;4;4;4;4;3;4;3;3;3;5;4;5;overall good
16/01/2025 15.31;Bogor Timur;Female;59;10;3;3;4;4;3;4;4;4;4;3;3;3;4;overall good
28/01/2025 22.09;Kemang;Male;37;9;3;4;3;4;3;3;3;4;4;3;3;3;3;overall good
14/01/2025 02.00;Sukaraja;Female;22;5;3;3;3;4;4;3;4;4;4;5;4;3;4;overall good
23/01/2025 20.10;Sukaraja;Male;23;7;4;4;5;3;4;5;4;4;4;4;3;5;5;overall good
09/01/2025 19.27;Ciawi;Female;62;10;4;3;4;4;4;4;4;4;3;4;4;4;4;overall good
05/01/2025 10.18;Sukaraja;Male;48;8;4;4;3;5;4;3;4;4;4;4;4;3;3;overall good
06/01/2025 01.52;Caringin;Female;43;8;3;3;3;4;4;3;4;4;4;4;4;4;3;overall good
14/01/2025 23.47;Baranangsiang;Male;42;10;4;4;4;4;4;5;5;4;3;4;4;4;5;overall good
16/01/2025 06.26;Leuwiliang;Female;56;9;4;3;4;4;3;3;4;3;3;3;2;3;3;improve Branch Cleanliness
25/01/2025 23.32;Cileungsi;Male;41;10;4;3;4;4;4;4;4;4;4;3;3;3;3;overall good
21/01/2025 01.28;Bogor Tengah;Female;63;8;5;4;4;5;5;5;5;5;5;5;4;5;4;overall good
31/01/2025 08.39;Bogor Barat;Male;33;10;5;4;4;4;4;4;4;5;3;4;3;4;3;overall good
14/01/2025 23.34;Babakan Madang;Female;24;9;4;4;4;3;4;3;3;4;4;5;4;3;3;overall good
31/01/2025 14.01;Babakan Madang;Male;65;9;5;3;3;5;4;4;4;3;4;4;5;4;4;overall good
27/01/2025 17.46;Kemang;Female;36;8;4;3;3;3;4;4;3;4;3;3;3;5;3;overall good
06/01/2025 12.11;Bogor Tengah;Male;56;9;5;4;5;4;4;4;5;5;4;4;4;4;4;overall good
25/01/2025 04.38;Babakan Madang;Female;28;7;4;4;4;5;3;4;4;5;4;3;4;4;4;overall good
24/01/2025 10.09;Dramaga;Male;53;8;4;3;3;4;4;4;3;4;4;4;4;3;4;overall good
19/01/2025 14.54;Caringin;Female;36;9;4;4;4;4;5;4;4;5;4;4;4;4;4;overall good
04/01/2025 09.20;Yasmin;Male;59;7;4;5;4;4;4;3;4;5;4;3;4;3;3;overall good
01/01/2025 02.59;Cileungsi;Female;47;10;3;4;4;3;4;4;4;3;4;3;4;4;4;overall good
24/01/2025 18.28;Dramaga;Male;40;4;3;4;3;4;3;4;3;4;4;3;4;4;3;overall good
17/01/2025 03.19;Tanah Sareal;Female;49;8;3;4;3;4;3;4;3;3;4;4;4;4;3;overall good
10/01/2025 03.47;Cijeruk;Male;55;10;4;4;4;4;4;4;5;5;3;4;5;4;5;overall good
03/01/2025 02.51;Cibinong;Female;57;10;5;5;5;4;4;4;5;4;5;5;4;5;3;overall good
19/01/2025 17.48;Ciomas;Male;51;8;4;4;4;5;4;3;5;5;4;4;5;4;4;overall good
25/01/2025 09.12;Tanah Sareal;Female;52;7;5;4;4;5;4;4;4;5;5;4;4;4;4;overall good
22/01/2025 08.59;Sukaraja;Male;42;6;3;3;3;3;3;4;4;3;3;3;3;3;3;overall good
07/01/2025 23.57;Bogor Selatan;Female;54;0;4;4;3;4;3;4;4;3;4;3;3;3;3;overall good
23/01/2025 18.59;Gunung Putri;Male;62;0;3;4;4;4;4;4;4;4;3;3;3;4;4;overall good
04/01/2025 21.34;Cileungsi;Female;42;3;3;3;4;4;3;3;3;4;3;4;3;3;4;overall good
16/01/2025 08.56;Ciomas;Male;64;8;5;4;4;4;3;4;3;4;4;4;4;5;4;overall good
12/01/2025 09.31;Caringin;Female;55;9;5;5;4;5;3;4;5;4;4;4;5;5;4;overall good
05/01/2025 18.41;Dramaga;Male;35;8;4;3;4;5;4;4;4;5;5;5;4;4;3;overall good
02/01/2025 09.43;Bogor Selatan;Female;49;10;4;4;4;4;4;4;4;4;5;4;4;5;4;overall good
18/01/2025 09.38;Bogor Barat;Male;41;8;4;4;4;3;4;3;4;4;3;3;3;4;4;overall good
28/01/2025 11.21;Bojonggede;Female;48;10;4;3;3;4;3;3;3;4;4;2;3;3;4;improve Complaint Handling
31/01/2025 02.00;Baranangsiang;Male;31;10;3;3;3;3;3;3;2;3;3;3;5;2;4;improve Internet Banking, Staff Friendliness
12/01/2025 06.31;Cibinong;Female;52;1;4;4;4;3;4;3;4;4;3;3;4;3;4;overall good
01/01/2025 10.56;Babakan Madang;Male;61;10;4;4;4;3;4;4;4;3;4;3;4;4;4;overall good
04/01/2025 14.03;Babakan Madang;Female;39;7;4;4;4;4;4;3;4;4;5;3;4;3;4;overall good
21/01/2025 14.21;Babakan Madang;Male;43;2;4;4;4;4;4;4;3;4;3;5;4;4;5;overall good
19/01/2025 16.12;Cileungsi;Female;50;1;4;4;3;4;3;3;3;3;3;4;3;4;3;overall good
28/01/2025 21.42;Caringin;Male;27;10;3;2;3;3;4;4;3;4;3;4;3;3;4;overall good
14/01/2025 07.47;Dramaga;Female;65;10;4;3;4;4;4;3;5;5;4;4;4;4;4;overall good
03/01/2025 09.08;Bogor Tengah;Male;57;6;4;4;4;3;3;4;5;4;3;4;3;4;4;overall good
12/01/2025 04.06;Kemang;Female;52;2;4;3;3;3;4;3;2;4;4;4;4;4;4;improve Internet Banking
31/01/2025 03.23;Kemang;Male;43;9;3;3;3;3;3;2;3;3;3;3;3;3;3;improve Mobile Banking
07/01/2025 15.21;Cileungsi;Female;64;6;3;4;4;3;4;4;2;4;3;4;4;3;3;improve Internet Banking
22/01/2025 09.35;Bogor Selatan;Male;61;2;3;4;3;3;4;3;4;4;4;4;3;3;4;overall good
05/01/2025 09.00;Bogor Barat;Female;58;9;4;4;5;4;5;4;5;4;5;5;5;4;4;overall good
10/01/2025 17.56;Dramaga;Male;41;7;4;3;4;4;4;4;5;3;4;3;5;4;4;overall good
26/01/2025 18.29;Tanah Sareal;Female;55;2;4;4;4;3;4;3;4;4;4;3;4;3;4;overall good
24/01/2025 09.23;Ciawi;Male;38;2;3;3;4;4;3;4;4;4;4;4;5;4;4;overall good
04/01/2025 15.43;Dramaga;Female;42;3;4;4;4;3;5;4;4;4;4;3;5;4;4;overall good
20/01/2025 07.01;Tanah Sareal;Male;35;5;4;4;4;5;3;4;4;4;4;4;4;4;4;overall good
01/01/2025 16.12;Cijeruk;Female;44;10;4;3;4;4;3;3;4;5;4;4;4;4;4;overall good
13/01/2025 17.26;Cileungsi;Male;55;10;3;3;4;3;3;3;4;3;4;3;3;3;3;overall good
06/01/2025 06.13;Sukaraja;Female;45;2;4;4;4;4;4;4;5;3;5;5;5;4;4;overall good
30/01/2025 14.47;Cibinong;Male;51;10;4;4;4;5;4;4;5;5;5;5;5;4;4;overall good
15/01/2025 16.04;Cibinong;Female;62;10;4;4;4;4;3;4;4;4;4;3;3;3;4;overall good
15/01/2025 18.36;Gunung Putri;Male;28;9;4;4;4;4;3;3;4;4;3;3;2;3;4;improve Branch Cleanliness
19/01/2025 20.48;Caringin;Female;28;9;3;4;3;4;4;3;5;3;4;3;4;4;3;overall good
27/01/2025 05.22;Babakan Madang;Male;44;5;3;4;4;4;4;4;4;3;4;4;5;4;4;overall good
21/01/2025 03.22;Gunung Putri;Female;58;7;4;4;4;3;3;4;4;3;3;4;4;3;4;overall good
02/01/2025 14.07;Bogor Selatan;Male;52;8;4;4;4;4;4;3;5;3;5;4;4;4;4;overall good
18/01/2025 14.33;Bojonggede;Female;34;7;3;5;4;4;4;5;4;4;5;4;4;4;4;overall good
03/01/2025 22.32;Bogor Selatan;Male;64;10;4;4;4;5;4;4;4;5;4;4;4;4;4;overall good
23/01/2025 01.47;Leuwiliang;Female;38;9;5;4;4;3;4;5;4;4;4;4;5;5;3;overall good
03/01/2025 10.55;Bogor Timur;Male;63;9;4;5;4;4;4;5;5;5;4;4;5;4;5;overall good
28/01/2025 09.46;Ciomas;Female;36;6;4;4;4;3;4;4;4;3;4;4;3;4;3;overall good
11/01/2025 01.21;Yasmin;Male;25;4;3;3;3;3;4;3;4;4;4;3;3;4;4;overall good
16/01/2025 22.47;Sukaraja;Female;34;1;3;3;3;4;3;4;4;3;4;4;3;3;3;overall good
07/01/2025 07.27;Tanah Sareal;Male;59;9;4;3;4;4;4;5;3;4;5;5;4;4;4;overall good
02/01/2025 06.02;Cijeruk;Female;37;7;4;4;3;4;4;4;5;4;4;5;3;4;4;overall good
29/01/2025 14.03;Tanah Sareal;Male;21;9;4;4;4;4;4;4;4;3;5;4;5;4;5;overall good
07/01/2025 03.41;Ciomas;Female;22;9;4;4;4;5;4;4;3;3;4;4;4;4;5;overall good
24/01/2025 02.52;Gunung Putri;Male;54;9;4;4;4;4;4;4;3;4;4;3;5;5;4;overall good
